인식,2006,2008,2010,2012,2014,2016,2018,2020,2022,2024
어떤 이유라도 이혼해서는 안된다,19.5,16.8,15.9,13.3,11.3,9.5,7.7,7.4,6.2,6.1
이유가 있더라도 가급적 이혼해서는 안된다,40.4,41.8,40.7,35.4,33.1,30.0,25.5,22.9,20.9,20.5
경우에 따라 이혼할 수도 있고 하지 않을 수도 있다,29.4,31.9,33.4,37.8,39.9,43.1,46.3,48.4,49.2,48.2
이유가 있으면 이혼을 하는 것이 좋다,6.8,7.1,7.7,10.9,12.0,14.0,16.7,16.8,18.7,20.5
이유가 있으면 반드시 해야한다 2),-,-,-,-,-,-,-,-,-,-
잘 모르겠다,4.0,2.4,2.4,2.7,3.7,3.4,3.8,4.6,5.0,4.6
합계,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
