상품명,가격
헬스콤 전기 스토브 HC-907 온열기,"27,000원"
코리아나호텔 헬스장 양도,"430,000원"
나이키 헬스장갑 넥워머 무릎보호대 세트,"30,000원"
예약중,스포애니 종각역점 헬스 회원권(15개월)
스포애니 종각역점 헬스 회원권(15개월),"430,000원"
판매완료,빌드업피트니스 종각역점 헬스 회원권
빌드업피트니스 종각역점 헬스 회원권,"260,000원"
WSF 헬스 스트랩 새상품,"5,000원"
자마이카 휘트니스 골프 헬스 스파 양도(운동복 골프 라커 포함),"700,000원"
(가격인하) 스포짐 종각점 헬스장 이용권 양도,"200,000원"
스포짐 종각점 PT & 헬스 이용권,"300,000원"
판매완료,스포짐종로점 헬스장 10개월권 40만원에 양도합니다. (락커사용포함/양도비 판매자부담)
스포짐종로점 헬스장 10개월권 40만원에 양도합니다. (락커사용포함/양도비 판매자부담),"400,000원"
서울역 헬스장 이용권 양도,"180,000원"
종로 어메이징 휘트니스(헬스장) PT 5회 양도 합니다,"220,000원"
판매완료,"광화문 베럴짐 PT 이용권 20회 양도합니다 (회당 2.9만, 헬스장 회원권 별도)"
"광화문 베럴짐 PT 이용권 20회 양도합니다 (회당 2.9만, 헬스장 회원권 별도)","595,000원"
헬스장 스포짐 종각짐 양도 하실분 구합니다,"300,000원"
판매완료,광화문역 서대문역 헬스장 디팰리스 11개월 양도 (월 10만원)
광화문역 서대문역 헬스장 디팰리스 11개월 양도 (월 10만원),"1,060,000원"
판매완료,"스포짐 종로점 헬스+GX 양도 (10개월, 312일) 35만원"
"스포짐 종로점 헬스+GX 양도 (10개월, 312일) 35만원","350,000원"
자마이카피트니스 앤 스파 헬스 이용권. 200일,"500,000원"
헬스이용권,"350,000원"
판매완료,자마이카휘트니스 헬스장 회원권 양도
자마이카휘트니스 헬스장 회원권 양도,"500,000원"
자마이카 피트니스 헬스장 이용권 185일(6개월) 양도,"450,000원"
명일동 헬스장 이용권 판매,"150,000원"
스포짐 종각점 헬스장 이용권 양도합니다/종로 광화문 헬스장,"300,000원"
헬스웨이 에어제로 공기청정기 팝니다,"50,000원"
스포짐 종로점 헬스 이용권 296일 (10개월조금안됨) 양도합니다,"210,000원"
판매완료,서울 종로 자마이카 휘트니스 회원권 양도합니다 (골프+헬스+스파)
서울 종로 자마이카 휘트니스 회원권 양도합니다 (골프+헬스+스파),"450,000원"
판매완료,종각역 도보 2분 헬스장 회원권 양도
종각역 도보 2분 헬스장 회원권 양도,"280,000원"
헬스보이짐앤필라걸 서울시청점 필라테스 수강권 29회,"220,000원"
스포애니 종각 pro 지점 헬스 양도 (158일),"160,000원"
"스포짐 종로점 헬스(gx이용가능, 사물함 포함)","100,000원"
스포짐 종로점 PT & 헬스 이용권,"257,000원"
자마이카 종로: 헬스+골프+스파+필라테스+골프락커+운동복 6개월 / 골프레슨권 36회,"900,000원"
"종로2가 바디스테이션 헬스 양도(양도금 포함, 10월 26일까지)","280,000원"
판매완료,"스포애니 광화문역점 10개월 헬스 회원권 양도 (운동복, 라커 포함)"
"스포애니 광화문역점 10개월 헬스 회원권 양도 (운동복, 라커 포함)","250,000원"
판매완료,어메이징휘트니스 헬스장 회원권 약 140일
어메이징휘트니스 헬스장 회원권 약 140일,"100,000원"
판매완료,아크로짐 안국역점 회원권 (197일) 양도합니다 (헬스장)
아크로짐 안국역점 회원권 (197일) 양도합니다 (헬스장),"320,000원"
"자마이카 ""골프 + 헬스 + 스파 + 골프락카 + 운동복"" 양도(양도비 미포함)","750,000원"
판매완료,자마이카 종로 광화문 헬스 회원권 9개월 양도비포함
자마이카 종로 광화문 헬스 회원권 9개월 양도비포함,"740,000원"
피트니스101 명동점 헬스 PT 12회 이용권(을지로3가역 근처),"400,000원"
자마이카피트니스 헬스장 이용권(헬스+락커)-,"600,000원"
종로 자마이카 헬스+운동복 6개월 팝니다,"500,000원"
판매완료,스포짐 종각점 헬스 회원권 양도합니다(~26.01.31)
스포짐 종각점 헬스 회원권 양도합니다(~26.01.31),"250,000원"
스포짐 개인피티+헬스이용권(마지막가격ㅠㅠ),"650,000원"
렉스파 접이식 헬스싸이클,"30,000원"
판매완료,스포짐 종로점 헬스권 판매 180일 / 25만원 (라카 포함)
