연도,연령별,계,배우자 부정,"정신적,육체적 학대",가족간 불화,경제문제,성격차이,건강문제,기타,미상
성별,,,,,,,,,,
2015,20 - 24세,"1,067",57,43,102,69,548,4,218,26
,25 - 29세,"3,295",262,127,297,198,"1,675",10,652,74
,30 - 34세,"9,904",826,323,746,648,"5,149",29,"1,988",195
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
